Data;24385 Setor privado;24386 Setor publico;24387 Conta propria;24388 Empregadores
2012-03-01;2191.61;3836.00;1969.00;6663.00
2012-04-01;2198.40;3819.00;1942.00;6911.00
2012-05-01;2186.78;3815.00;1935.00;6942.00
2012-06-01;2195.90;3837.00;1930.00;6886.00
2012-07-01;2204.31;3813.00;1970.00;6881.00
2012-08-01;2198.98;3799.00;1971.00;7113.00
2012-09-01;2183.35;3798.00;1975.00;7179.00
2012-10-01;2184.36;3784.00;1985.00;7067.00
2012-11-01;2191.46;3802.00;1998.00;6789.00
2012-12-01;2188.37;3833.00;2014.00;6558.00
2013-01-01;2198.11;3897.00;2016.00;6587.00
2013-02-01;2202.67;3903.00;2039.00;6732.00
2013-03-01;2214.75;3920.00;2037.00;6937.00
2013-04-01;2220.41;3919.00;2015.00;6987.00
2013-05-01;2224.98;3920.00;2016.00;7034.00
2013-06-01;2241.01;3909.00;2036.00;7079.00
2013-07-01;2257.32;3907.00;2066.00;7087.00
2013-08-01;2274.33;3928.00;2085.00;7080.00
2013-09-01;2267.76;3907.00;2095.00;7302.00
2013-10-01;2277.46;3911.00;2097.00;7305.00
2013-11-01;2267.15;3930.00;2064.00;7250.00
2013-12-01;2271.64;3945.00;2042.00;6924.00
2014-01-01;2264.70;3985.00;2064.00;6865.00
2014-02-01;2282.16;3990.00;2111.00;6918.00
2014-03-01;2303.43;4026.00;2141.00;6988.00
2014-04-01;2308.02;4007.00;2131.00;6950.00
2014-05-01;2316.59;4020.00;2106.00;6900.00
2014-06-01;2309.91;3997.00;2075.00;6897.00
2014-07-01;2302.76;4012.00;2054.00;6934.00
2014-08-01;2315.28;3997.00;2071.00;6984.00
2014-09-01;2320.43;4002.00;2075.00;7129.00
2014-10-01;2324.42;4008.00;2101.00;7053.00
2014-11-01;2306.83;4009.00;2095.00;6870.00
2014-12-01;2290.69;4032.00;2122.00;6874.00
2015-01-01;2295.07;4067.00;2112.00;6933.00
2015-02-01;2280.28;4052.00;2105.00;7056.00
2015-03-01;2307.43;3990.00;2081.00;6917.00
2015-04-01;2293.26;3994.00;2066.00;6971.00
2015-05-01;2308.76;3972.00;2032.00;6869.00
2015-06-01;2299.41;3958.00;2044.00;7068.00
2015-07-01;2292.88;3923.00;2022.00;6987.00
2015-08-01;2272.28;3915.00;2000.00;7008.00
2015-09-01;2278.45;3959.00;1965.00;6914.00
2015-10-01;2279.18;3957.00;1969.00;6746.00
2015-11-01;2272.94;3972.00;1958.00;6655.00
2015-12-01;2257.22;4015.00;1990.00;6442.00
2016-01-01;2272.25;4034.00;2004.00;6478.00
2016-02-01;2275.85;3999.00;1986.00;6441.00
2016-03-01;2274.22;4012.00;1992.00;6656.00
2016-04-01;2267.77;4020.00;1951.00;6589.00
2016-05-01;2263.29;4034.00;1965.00;6641.00
2016-06-01;2240.05;4049.00;1951.00;6370.00
2016-07-01;2238.65;4052.00;1946.00;6322.00
2016-08-01;2249.56;4053.00;1968.00;6300.00
2016-09-01;2257.98;4021.00;1928.00;6281.00
2016-10-01;2259.71;4027.00;1923.00;6283.00
2016-11-01;2256.02;4077.00;1914.00;6286.00
